;price ;dividend ;earnings ;cpi;rates;;;;
janv-60;53.73;1.95;3.27;29.80;3.89;;;;
févr-60;55.47;1.95;3.27;29.80;3.93;;;;
mars-60;56.80;1.95;3.27;29.80;3.84;;;;
avr-60;59.72;1.95;3.21;29.80;3.84;;;;
mai-60;62.17;1.94;3.15;29.80;3.78;;;;
juin-60;64.12;1.94;3.09;29.80;3.74;;;;
juil-60;65.83;1.94;3.07;29.80;3.78;;;;
août-60;66.50;1.94;3.05;29.80;3.71;;;;
sept-60;65.62;1.94;3.03;29.80;3.88;;;;
oct-60;65.44;1.95;3.04;30.00;3.92;;;;
nov-60;67.79;1.95;3.04;29.90;4.04;;;;
déc-60;67.26;1.96;3.05;30.00;3.98;;;;
janv-61;68.00;1.98;3.10;30.00;3.92;;;;
févr-61;71.08;2.00;3.14;30.00;3.94;;;;
mars-61;71.74;2.02;3.19;30.00;4.06;;;;
avr-61;69.07;2.03;3.25;30.00;4.08;;;;
mai-61;70.22;2.03;3.31;30.10;4.04;;;;
juin-61;70.29;2.04;3.37;30.10;3.93;;;;
juil-61;68.05;2.05;3.40;30.20;3.84;;;;
août-61;62.99;2.05;3.44;30.20;3.87;;;;
sept-61;55.63;2.06;3.47;30.20;3.91;;;;
oct-61;56.97;2.07;3.49;30.30;4.01;;;;
nov-61;58.52;2.07;3.51;30.30;3.98;;;;
déc-61;58.00;2.08;3.53;30.40;3.98;;;;
janv-62;56.17;2.10;3.58;30.40;3.93;;;;
févr-62;60.04;2.11;3.62;30.40;3.92;;;;
mars-62;62.64;2.13;3.67;30.40;3.86;;;;
avr-62;65.06;2.14;3.68;30.40;3.83;;;;
mai-62;65.92;2.14;3.70;30.40;3.92;;;;
juin-62;65.67;2.15;3.71;30.50;3.93;;;;
juil-62;68.76;2.17;3.75;30.50;3.97;;;;
août-62;70.14;2.18;3.80;30.50;3.93;;;;
sept-62;70.11;2.20;3.84;30.60;3.99;;;;
oct-62;69.07;2.20;3.88;30.70;4.02;;;;
nov-62;70.98;2.21;3.92;30.70;4.00;;;;
déc-62;72.85;2.21;3.96;30.70;4.08;;;;
janv-63;73.03;2.23;3.98;30.80;4.11;;;;
févr-63;72.62;2.26;4.00;30.80;4.12;;;;
mars-63;74.17;2.28;4.02;30.90;4.13;;;;
avr-63;76.45;2.30;4.07;30.90;4.17;;;;
mai-63;77.39;2.31;4.13;30.90;4.15;;;;
juin-63;78.80;2.33;4.18;30.90;4.22;;;;
juil-63;79.94;2.35;4.23;30.90;4.23;;;;
août-63;80.72;2.36;4.28;30.90;4.20;;;;
sept-63;80.24;2.38;4.33;31.00;4.17;;;;
oct-63;83.22;2.40;4.38;31.10;4.19;;;;
nov-63;82.00;2.42;4.42;31.00;4.19;;;;
déc-63;83.41;2.44;4.47;31.10;4.20;;;;
janv-64;84.85;2.46;4.50;31.10;4.19;;;;
févr-64;85.44;2.48;4.52;31.20;4.15;;;;
mars-64;83.96;2.50;4.55;31.20;4.18;;;;
avr-64;86.12;2.52;4.59;31.20;4.19;;;;
mai-64;86.75;2.53;4.64;31.20;4.21;;;;
juin-64;86.83;2.55;4.68;31.30;4.21;;;;
juil-64;87.97;2.57;4.73;31.40;4.20;;;;
août-64;89.28;2.59;4.79;31.40;4.21;;;;
sept-64;85.04;2.61;4.84;31.60;4.21;;;;
oct-64;84.91;2.63;4.89;31.60;4.20;;;;
nov-64;86.49;2.64;4.93;31.60;4.25;;;;
déc-64;89.38;2.66;4.98;31.60;4.29;;;;
janv-65;91.39;2.68;5.05;31.70;4.35;;;;
févr-65;92.15;2.70;5.12;31.70;4.45;;;;
mars-65;91.73;2.72;5.19;31.80;4.62;;;;
avr-65;93.32;2.74;5.24;31.80;4.61;;;;
mai-65;92.69;2.76;5.29;32.00;4.83;;;;
juin-65;88.88;2.78;5.34;32.10;4.87;;;;
juil-65;91.60;2.80;5.38;32.30;4.75;;;;
août-65;86.78;2.81;5.42;32.30;4.78;;;;
sept-65;86.06;2.83;5.46;32.40;4.81;;;;
oct-65;85.84;2.85;5.48;32.50;5.02;;;;
nov-65;80.65;2.87;5.49;32.70;5.22;;;;
déc-65;77.81;2.89;5.51;32.70;5.18;;;;
janv-66;77.13;2.88;5.52;32.90;5.01;;;;
févr-66;80.99;2.88;5.54;32.90;5.16;;;;
mars-66;81.33;2.87;5.55;32.90;4.84;;;;
avr-66;84.45;2.88;5.52;32.90;4.58;;;;
mai-66;87.36;2.89;5.48;32.90;4.63;;;;
juin-66;89.42;2.90;5.45;33.00;4.54;;;;
juil-66;90.96;2.90;5.41;33.10;4.59;;;;
août-66;92.59;2.90;5.37;33.20;4.85;;;;
sept-66;91.43;2.90;5.33;33.30;5.02;;;;
oct-66;93.01;2.91;5.32;33.40;5.16;;;;
nov-66;94.49;2.91;5.31;33.50;5.28;;;;
déc-66;95.81;2.92;5.30;33.60;5.30;;;;
janv-67;95.66;2.92;5.31;33.70;5.48;;;;
févr-67;92.66;2.92;5.32;33.80;5.75;;;;
mars-67;95.30;2.92;5.33;33.90;5.70;;;;
avr-67;95.04;2.93;5.37;34.10;5.53;;;;
mai-67;90.75;2.94;5.40;34.20;5.56;;;;
juin-67;89.09;2.95;5.44;34.30;5.74;;;;
juil-67;95.67;2.96;5.48;34.40;5.64;;;;
août-67;97.87;2.98;5.53;34.50;5.87;;;;
sept-67;100.50;2.99;5.57;34.70;5.72;;;;
